ProjectID,ProgramNo,InstructionSrNo,Instruction,InstructionValue,WagonNumber,ProgramName
"001",1,1,"Get From",6,"Wagon 1",
"001",1,2,"Put On",7,"Wagon 1",
"001",1,3,"Get From",1,"Wagon 1",
"001",1,4,"Put On",6,"Wagon 1",
"001",1,5,"Get From",7,"Wagon 1",
"001",1,6,"Put On",8,"Wagon 1",
"001",1,7,"Wait For Sec",10,"Wagon 1",
"001",1,8,"Get From",8,"Wagon 1",
"001",1,9,"Put On",9,"Wagon 1",
"001",1,10,"Wait For Sec",10,"Wagon 1",
"001",1,11,"Get From",9,"Wagon 1",
"001",1,12,"Put On",10,"Wagon 1",
"001",1,13,"Put On",4,"Wagon 1",
"Prj001",1,21,"Put On",5,"Wagon 1",
"Prj001",2,2,"Put On",14,"Wagon 2",
"Prj001",1,2,"Put On",14,"Wagon 2",
"Prj001",1,3,"Get From",11,"Wagon 2",
"Prj001",2,5,"Put On",12,"Wagon 2",
"Prj001",1,5,"Put On",12,"Wagon 2",
"Prj001",2,7,"Put On",15,"Wagon 2",
"Prj001",1,7,"Put On",15,"Wagon 2",
"Prj001",1,10,"Put On",16,"Wagon 2",
"Prj001",2,10,"Put On",16,"Wagon 2",
"Prj001",1,13,"Put On ",17,"Wagon 2",
"Prj001",2,13,"Put On ",17,"Wagon 2",
"Prj001",1,15,"Put On ",20,"Wagon 2",
"Prj001",2,15,"Put On ",20,"Wagon 2",
"Prj001",2,16,"Put On ",18,"Wagon 2",
"Prj001",1,16,"Put On ",18,"Wagon 2",
"Prj001",2,19,"Put On",21,"Wagon 2",
"Prj001",1,19,"Put On",21,"Wagon 2",
"Prj001",2,20,"Put On",15,"Wagon 2",
"Prj001",1,20,"Put On",15,"Wagon 2",
"Shree_Vinayak",1,1,"Get From",1,"Wagon 1",
"Shree_Vinayak",1,2,"Put On",2,"Wagon 1",
"Shree_Vinayak",1,4,"Get From",6,"Wagon 1",
"Shree_Vinayak",1,5,"Put On",1,"Wagon 1",
"Shree_Vinayak",1,7,"Get From",5,"Wagon 1",
"Shree_Vinayak",1,10,"Put On",6,"Wagon 1",
"Shree_Vinayak",1,11,"Wait For Sec",30,"Wagon 1",
"Shree_Vinayak",1,14,"Put On",7,"Wagon 1",
"Shree_Vinayak",1,17,"Put On",5,"Wagon 1",
"Shree_Vinayak",1,18,"Set Int",4,"Wagon 1",
"Shree_Vinayak",1,21,"Put On",4,"Wagon 1",
"Shree_Vinayak",1,24,"Put On",3,"Wagon 1",
"Shree_Vinayak",1,25,"Put On",2,"Wagon 1",
"Shree_Vinayak",1,3,"Set Int",1,"Wagon 2",
"Shree_Vinayak",1,4,"Put On",10,"Wagon 2",
"Shree_Vinayak",1,5,"Wait For Int",2,"Wagon 2",
"Shree_Vinayak",1,8,"Put On",8,"Wagon 2",
"Shree_Vinayak",1,9,"Set Int",3,"Wagon 2",
"Shree_Vinayak",1,10,"Put On",11,"Wagon 2",
"Shree_Vinayak",1,11,"Wait For Int",9,"Wagon 2",
"Shree_Vinayak",1,14,"Put On",13,"Wagon 2",
"Shree_Vinayak",1,16,"Wait For Sec",5,"Wagon 2",
"Shree_Vinayak",1,17,"Put On",11,"Wagon 2",
"Shree_Vinayak",1,18,"Wait For Sec",30,"Wagon 2",
