Field0,Field1,Field2
"Loading","Low Critical","0"
"Cross Trolley-1","Low Critical","350"
"Degreasing-1","Critical","760"
"Degreasing-2","Critical","1765"
"Rinse-1","Low Critical","2755"
"Rinse-2","Low Critical","3740"
"Pickling","Super Critical","4555"
"Rinse-1","Low Critical","5105"
"Rinse-2","Low Critical","5705"
"Rinse-3","Low Critical","6255"
"Cross Trolley-2","Low Critical","6805"
,,
"Cross Trolley-2","Low Critical","6805"
"Phosphating-1","Critical","6287"
"Phosphating-2","Critical","5582"
"Rinse-1","Low Critical","4822"
"Rinse-2","Low Critical","3966"
"Passivation","Critical","3261"
"Hot Water","Low Critical","2501"
"Dryer-1","Low Critical","1645"
