ID,StationNumber,RowNumber,ProcessName,CriticalStatus,Distance,ProjectID,CensorDistance,FlightBar
23,19,2,Dryer 2,Low,940,2,,0
24,20,2,Cross Trolley 1,Low,350,2,,0
25,21,2,Unloading,Low,0,2,,0
26,1,1,Loading with CT,High,0,1,,0
27,2,1,Loading 1,High,2000,1,,0
28,3,1,Loading 3,High,3000,1,,0
29,3,1,Loading 2,High,3000,1,,0
30,4,1,Loading 3,High,4000,1,,0
31,5,1,Loading 4,High,5000,1,,0
32,6,1,Hot Soak 1,High,6000,1,,0
33,7,1,Warm Rinse,Low,7000,1,,0
34,8,1,Hot Soak 2,High,8000,1,,0
35,9,1,Anodic 1,High,9000,1,,0
36,10,1,CF Rinse 1,Low,10000,1,,0
37,11,1,CF Rinse 2,Low,11000,1,,0
38,1,1,Loading,High,0,8,,0
39,2,1,Degreasing,Medium,1250,8,,0
40,3,1,,,0,8,,0
41,4,1,,,0,8,,0
42,5,1,,,0,8,,0
43,6,1,,,0,8,,0
44,7,1,,,0,8,,0
45,8,1,,,0,8,,0
46,9,1,,,0,8,,0
47,10,1,Acid1,,0,8,,0
48,11,1,Acid2,,0,8,,0
49,11,2,,,0,8,,0
50,12,2,,,0,8,,0
51,13,2,,,0,8,,0
52,14,2,,,0,8,,0
53,15,2,,,0,8,,0
54,16,2,,,0,8,,0
55,16,3,,,0,8,,0
56,17,3,,,0,8,,0
57,18,3,,,0,8,,0
58,19,3,,,0,8,,0
59,20,3,,,0,8,,0
60,21,3,,,0,8,,0
61,22,3,,,0,8,,0
62,23,3,,,0,8,,0
63,24,3,,,0,8,,0
64,25,3,,,0,8,,0
70,17,2,,,0,8,,0
71,18,2,,,0,8,,0
72,19,2,,,0,8,,0
73,20,2,,,0,8,,0
75,2,1,Degreasing,Medium,0,9,,0
76,3,1,,,0,9,,0
77,4,1,,,0,9,,0
78,5,1,,,0,9,,0
79,6,1,,,0,9,,0
80,7,1,,,0,9,,0
81,8,1,,,0,9,,0
82,9,1,,,0,9,,0
83,10,1,,,0,9,,0
84,11,1,,,0,9,,0
85,12,1,,,0,9,,0
86,13,1,,,0,9,,0
87,14,1,,,0,9,,0
88,15,1,,,0,9,,0
89,16,1,,,0,9,,0
90,17,1,,,0,9,,0
91,18,1,,,0,9,,0
92,19,1,,,0,9,,0
93,20,1,,,0,9,,0
94,21,1,,,0,9,,0
95,22,1,,,0,9,,0
96,23,1,,,0,9,,0
