ID,RowNo,WagonMinStationNo,WagonMaxStationNo,BasicPosition,ProjectID,WagonNumber,SuperfastSpeed,FastSpeed,SlowSpeed,LiftSpeed,LowerDownSpeed,LiftStrokeSpeed,NoOfStationToStop
4,1,1,11,5,Prj001,Wagon 1,1.33E+01,2.80E+01,7.00E+00,1.00E+01,1.00E+01,1.00E+00,0
5,2,11,21,15,Prj001,Wagon 2,1.33E+01,2.50E+01,7.00E+00,1.00E+01,1.00E+01,1.00E+00,4130589
6,1,1,12,4,1,Wagon 1,1.33E+01,1.80E+01,7.00E+00,1.00E+01,1.00E+01,1.00E+04,
7,1,1,12,4,1,Wagon 1,1.33E+01,1.80E+01,7.00E+00,1.00E+01,1.00E+01,1.00E+00,
8,1,1,11,4,p2,Wagon 1,1.33E+01,1.30E+01,1.15E+01,1.50E+01,1.30E+01,1.25E+00,
9,2,11,15,12,p2,Wagon 2,1.33E+01,1.23E+01,1.15E+01,1.40E+01,1.30E+01,1.25E+00,
10,3,16,22,16,p2,Wagon 3,1.33E+01,1.45E+01,1.20E+01,1.50E+01,1.30E+01,1.25E+00,
11,1,1,7,2,Shree_Vinayak,Wagon 1,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
12,1,7,15,10,Shree_Vinayak,Wagon 2,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
13,1,14,34,15,Shree_Vinayak,Wagon 3,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
14,1,20,39,20,Shree_Vinayak,Wagon 4,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
15,2,40,50,42,Shree_Vinayak,Wagon 5,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
16,2,45,61,50,Shree_Vinayak,Wagon 6,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
17,2,59,66,63,Shree_Vinayak,Wagon 7,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,
25,1,1,7,9,Osho,Wagon 1,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,2
26,1,7,15,12,Osho,Wagon 2,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,2
27,1,13,30,20,Osho,Wagon 3,1.33E+01,2.00E+01,5.00E+00,9.00E+00,9.00E+00,1.30E+00,2
28,1,19,35,26,Osho,Wagon 4,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,2
29,1,25,39,35,Osho,Wagon 5,1.33E+01,2.50E+01,7.50E+00,1.05E+01,1.05E+01,1.30E+00,2
30,1,1,20,4,Dham,Wagon 1,1.33E+01,2.00E+01,7.00E+00,9.00E+00,9.00E+00,1.20E+00,
31,1,12,31,21,Dham,Wagon 2,1.33E+01,2.00E+01,7.00E+00,9.00E+00,9.00E+00,1.20E+00,
32,2,31,55,33,Dham,Wagon 3,1.33E+01,2.00E+01,7.00E+00,9.00E+00,9.00E+00,1.20E+00,
33,2,50,61,57,Dham,Wagon 4,1.33E+01,2.00E+01,7.00E+00,9.00E+00,9.00E+00,1.20E+00,
54,1,1,13,8,Swastid,Wagon 1,1.33E+01,2.10E+01,6.00E+00,1.20E+01,9.00E+00,0.00E+00,1
55,1,3,18,15,Swastid,Wagon 2,1.33E+01,2.10E+01,6.00E+00,1.20E+01,9.00E+00,0.00E+00,1
56,1,9,24,23,Swastid,Wagon 3,1.33E+01,2.10E+01,6.00E+00,1.20E+01,9.00E+00,0.00E+00,1
57,2,24,38,36,Swastid,Wagon 4,1.33E+01,2.10E+01,6.00E+00,1.20E+01,9.00E+00,0.00E+00,1
58,2,34,48,41,Swastid,Wagon 5,1.33E+01,2.10E+01,6.00E+00,1.20E+01,9.00E+00,0.00E+00,1
91,1,1,18,10,Prius,Wagon 1,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
92,1,18,30,25,Prius,Wagon 2,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
93,2,30,45,31,Prius,Wagon 3,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
94,2,45,60,52,Prius,Wagon 4,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
107,1,1,8,4,Bhagwan,Wagon 1,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
108,1,8,16,13,Bhagwan,Wagon 2,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
109,1,12,20,19,Bhagwan,Wagon 3,1.33E+01,1.80E+01,6.00E+00,2.50E+01,1.50E+01,0.00E+00,1
