seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
1,1,1,1,GetFrom,6,0,High,1200,TRUE
1,1,1,2,PutOn,7,0,Low,1200,TRUE
1,1,1,3,GetFrom,1,0,High,1200,TRUE
1,1,1,4,PutOn,6,0,High,1200,TRUE
1,1,1,5,GetFrom,7,0,Low,1200,TRUE
1,1,1,6,PutOn,8,0,High,1200,TRUE
1,1,1,7,WaitForSec,0,10,High,1200,TRUE
1,1,1,8,GetFrom,8,0,High,1200,TRUE
1,1,1,9,PutOn,9,0,High,1200,TRUE
1,1,1,10,WaitForSec,0,10,High,1200,TRUE
1,1,1,11,GetFrom,9,0,High,1200,TRUE
1,1,1,12,PutOn,10,0,Low,1200,TRUE
1,1,1,13,PutOn,4,0,High,1200,TRUE
,,,,,,,,,
2,1,1,1,GetFrom,6,0,High,1800,TRUE
2,1,1,2,PutOn,7,0,Low,1800,TRUE
2,1,1,3,GetFrom,1,0,High,1800,TRUE
2,1,1,4,PutOn,6,0,High,1800,TRUE
2,1,1,5,GetFrom,7,0,Low,1800,TRUE
2,1,1,6,PutOn,8,0,High,1800,TRUE
2,1,1,7,WaitForSec,0,20,High,1800,TRUE
2,1,1,8,GetFrom,8,0,High,1800,TRUE
2,1,1,9,PutOn,9,0,High,1800,TRUE
2,1,1,10,WaitForSec,0,20,High,1800,TRUE
2,1,1,11,GetFrom,9,0,High,1800,TRUE
2,1,1,12,PutOn,10,0,Low,1800,TRUE
2,1,1,13,GetFrom,10,0,Low,1800,TRUE
2,1,1,14,PutOn,11,0,Low,1800,TRUE
2,1,1,15,PutOn,4,0,High,1800,TRUE
