ProgramNo,InstructionSrNo,Instruction,StationNumber,CriticalStatus
1,1,"Get From",6,High
1,2,"Put On",7,Low
1,3,"Get From",1,High
1,4,"Put On",6,High
1,5,"Get From",7,Low
1,6,"Put On",8,High
1,7,"Wait For Sec",10,Low
1,8,"Get From",8,High
1,9,"Put On",9,High
1,10,"Wait For Sec",10,Low
1,11,"Get From",9,High
1,12,"Put On",10,Low
1,13,"Put On",4,High
1,21,"Put On",5,High
2,2,"Put On",14,
1,2,"Put On",14,
1,3,"Get From",11,Low
2,5,"Put On",12,
1,5,"Put On",12,
2,7,"Put On",15,
1,7,"Put On",15,
1,10,"Put On",16,
2,10,"Put On",16,
1,13,"Put On ",17,
2,13,"Put On ",17,
1,15,"Put On ",20,Low
2,15,"Put On ",20,Low
2,16,"Put On ",18,
1,16,"Put On ",18,
2,19,"Put On",21,Low
1,19,"Put On",21,Low
2,20,"Put On",15,
1,20,"Put On",15,
1,1,"Get From",1,High
1,2,"Put On",2,High
1,4,"Get From",6,High
1,5,"Put On",1,High
1,7,"Get From",5,High
1,10,"Put On",6,High
1,11,"Wait For Sec",30,
1,14,"Put On",7,Low
1,17,"Put On",5,High
1,18,"Set Int",4,High
1,21,"Put On",4,High
1,24,"Put On",3,High
1,25,"Put On",2,High
1,3,"Set Int",1,High
1,4,"Put On",10,Low
1,5,"Wait For Int",2,High
1,8,"Put On",8,High
1,9,"Set Int",3,High
1,10,"Put On",11,Low
1,11,"Wait For Int",9,High
1,14,"Put On",13,
1,16,"Wait For Sec",5,High
1,17,"Put On",11,Low
1,18,"Wait For Sec",30,
1,21,"Put On",12,
1,22,"Get From",13,
1,25,"Put On",14,
1,29,"Put On",6,High
1,30,"Put On",10,Low
1,1,"Put On",17,
1,2,"Wait For Int",7,Low
1,5,"Put On",21,Low
1,8,"Put On",15,
1,9,"Get From",14,
1,11,"Wait For Int",9,High
1,12,"Put On",16,
1,13,"Wait For Sec",60,Medium
1,14,"Get From",16,
1,16,"Wait For Int",6,High
1,17,"Put On",17,
1,18,"Wait For Sec",10,Low
1,20,"Wait For Sec",5,High
1,21,"Put On",18,
1,22,"Wait For Sec",10,Low
1,24,"Wait For Sec",5,High
1,25,"Put On",19,Low
1,27,"Set Int",8,High
1,28,"Put On",15,
1,3,"Put On",35,
1,4,"Set Int",7,Low
1,5,"Wait For Sec",10,Low
1,8,"Put On",36,
1,9,"Get From",39,
1,10,"Put On",35,
1,13,"Put On",39,
1,14,"Get From",35,
1,15,"Set CT Fwd",1,High
1,18,"Put On",20,Low
1,1,"Get From",40,
1,2,"Put On",42,
1,4,"Get From",43,
1,5,"Put On",40,
1,6,"Get From",40,
1,9,"Get From",50,
1,10,"Put On",43,
1,11,"Get From",42,
1,12,"Put On",45,
1,13,"Get From",45,
1,2,"Set Int",9,High
1,3,"Put On",46,
1,5,"Get From",46,
1,6,"Put On",48,
1,8,"Get From",48,
1,9,"Put On",49,
1,11,"Get From",49,
1,12,"Put On",51,
1,14,"Get From",51,
1,15,"Put On",52,
1,17,"Get From",52,
1,18,"Put On",53,
1,20,"Get From",53,
1,21,"Put On",54,
1,22,"Wait For Sec",10,Low
1,25,"Put On",61,Low
1,28,"Put On",50,
1,1,"Get From",60,Medium
1,2,"Put On",59,Low
1,3,"Get From",66,Low
1,4,"Put On",60,Medium
1,5,"Get From",64,Low
1,6,"Put On",66,Low
1,7,"Get From",61,Low
1,8,"Put On",62,High
1,10,"Get From",62,High
1,11,"Put On",64,Low
1,1,"Get From",14,
1,2,"Put On",13,
1,3,"Get From",13,
1,4,"Put On",12,
1,5,"Get From",12,
1,6,"Put On",11,Low
1,7,"Wait For Int",11,Low
1,8,"Set Int",5,High
1,9,"Put On",19,Low
1,10,"Wait For Int",4,High
1,11,"Get From",11,Low
1,12,"Put On",10,Low
1,13,"Wait For Sec",10,Low
1,14,"Get From",10,Low
1,15,"Put On",9,High
1,16,"Wait For Int",6,High
1,17,"Get From",8,High
1,18,"Wait For Int",9,High
1,19,"Get From",6,High
1,20,"Put On",6,High
1,21,"Set Int",8,High
1,22,"Put On",12,
1,1,"Get From",18,
1,2,"Put On",19,Low
1,3,"Get From",17,
1,4,"Put On",18,
1,5,"Get From",19,Low
1,6,"Put On",20,Low
1,7,"Set Int",11,Low
1,8,"Get From",21,Low
1,9,"Put On",22,
1,10,"Get From",22,
1,11,"Put On",23,
1,12,"Wait For Int",16,
1,13,"Get From",23,
1,14,"Put On",24,
1,15,"Wait For Int",7,Low
1,16,"Get From",30,
1,17,"Set Int",12,
1,18,"Put On",16,
1,19,"Wait For Sec",36,
1,20,"Get From",16,
1,21,"Put On",14,
1,22,"Put On",20,Low
1,1,"Get From",26,
1,2,"Put On",27,
1,3,"Wait For Sec",35,
1,4,"Get From",27,
1,9,"Set Interlock Timer",150,NULL
1,12,"Get From",64,Low
1,13,"Get From",63,High
1,1,"Get From",8,High
1,2,"Put On",9,High
1,3,"Get From",6,High
1,10,"Wait For Int",13,
1,4,"Put On",7,Low
1,5,"Wait For Sec",9,High
1,6,"Get From",7,Low
1,7,"Put On",8,High
1,8,"Get From",2,High
1,9,"Put On",6,High
1,10,"Wait For Sec",10,Low
1,11,"Get From",9,High
1,12,"Put On",10,Low
1,13,"Wait For Sec",9,High
1,14,"Get From",10,Low
1,15,"Wait For Int",1,High
1,16,"Put On",11,Low
1,17,"Set Int",5,High
1,18,"Get From",1,High
1,19,"Put On",2,High
1,20,"Put On",8,High
1,1,"Get From",12,
1,2,"Put On",13,
1,3,"Wait For Int",9,High
1,4,"Get From",16,
1,5,"Put On",17,
1,6,"Wait For Sec",9,High
1,7,"Get From",13,
1,8,"Set Int",1,High
1,9,"Put On",14,
1,10,"Wait For Sec",9,High
1,11,"Get From",14,
1,12,"Set Int",2,High
1,13,"Put On",15,
1,14,"Wait For Sec",9,High
1,15,"Get From",15,
1,16,"Put On",16,
1,17,"Set Int",13,
1,18,"Wait For Int",5,High
1,19,"Get From",11,Low
1,20,"Put On",12,
1,21,"Put On",15,
1,1,"Get From",23,
1,2,"Put On",24,
1,3,"Get From",17,
1,4,"Put On",18,
1,5,"Wait For Sec",10,Low
1,11,"Get From",38,
1,6,"Get From",18,
1,7,"Set Int",9,High
1,8,"Put On",19,Low
1,9,"Wait For Sec",20,Low
1,10,"Get From",19,Low
1,11,"Put On",20,Low
1,12,"Wait For Sec",20,Low
1,13,"Get From",20,Low
1,14,"Put On",21,Low
1,15,"Wait For Sec",60,Medium
1,16,"Get From",21,Low
1,17,"Put On",22,
1,18,"Wait For Sec",20,Low
1,19,"Get From",22,
1,20,"Put On",23,
1,1,"Get From",37,
1,2,"Put On",38,
1,3,"Get From",25,
1,4,"Put On",30,
1,5,"Get From",24,
1,6,"Put On",25,
1,7,"Get From",31,
1,8,"Put On",34,
1,9,"Get From",34,
1,10,"Put On",35,
1,11,"Wait For Sec",30,
1,12,"Get From",35,
1,13,"Put On",36,
1,14,"Get From",36,
1,15,"Put On",37,
1,16,"Get From",30,
1,17,"Put On",31,
1,18,"Put On",36,
1,1,"Get From",41,
1,2,"Put On",42,
1,3,"Wait For Sec",9,High
1,4,"Get From",42,
1,5,"Put On",43,
1,6,"Wait For Sec",9,High
1,7,"Get From",43,
1,8,"Put On",44,
1,9,"Wait For Sec",9,High
1,10,"Get From",44,
1,11,"Put On",45,
1,12,"Wait For Sec",9,High
1,13,"Get From",45,
1,14,"Put On",46,
1,15,"Wait For Sec",5,High
1,16,"Get From",47,
1,17,"Put On",48,
1,18,"Get From",46,
1,19,"Wait For Sec",5,High
1,20,"Put On",47,
1,21,"Get From",38,
1,22,"Put On",39,
1,23,"Get From",39,
1,24,"Put On",40,
1,25,"Wait For Sec",9,High
1,26,"Get From",40,
1,27,"Put On",41,
1,1,"Get From",14,
1,2,"Put On",18,
1,14,"Wait Interlock Timer",150,NULL
1,3,"Get From",1,High
1,4,"Put On",2,High
1,5,"Get From",10,Low
1,6,"Put On",11,Low
1,7,"Wait For Sec",10,Low
1,8,"Get From",11,Low
1,9,"Put On",12,
