seq_id,project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
1,1,Wagon 1,1,Get From,6,,High,6000,TRUE
1,1,Wagon 1,2,Put On,7,,Low,7000,TRUE
1,1,Wagon 1,3,Get From,1,,High,0,TRUE
1,1,Wagon 1,4,Put On,6,,High,6000,TRUE
1,1,Wagon 1,5,Get From,7,,Low,7000,TRUE
1,1,Wagon 1,6,Put On,8,,High,8000,TRUE
1,1,Wagon 1,7,Wait For Sec,10,,Low,10000,TRUE
1,1,Wagon 1,8,Get From,8,,High,8000,TRUE
1,1,Wagon 1,9,Put On,9,,High,9000,TRUE
1,1,Wagon 1,10,Wait For Sec,10,,Low,10000,TRUE
1,1,Wagon 1,11,Get From,9,,High,9000,TRUE
1,1,Wagon 1,12,Put On,10,,Low,10000,TRUE
1,1,Wagon 1,13,Put On,4,,High,4000,TRUE
2,9,Wagon 1,1,Get From,1,,High,0,TRUE
2,9,Wagon 1,2,Put On,5,,High,0,TRUE
2,9,Wagon 1,3,Get From,2,,High,0,TRUE
2,9,Wagon 1,4,Put On,5,,High,0,TRUE
2,9,Wagon 1,5,Get From,3,,High,0,TRUE
2,9,Wagon 1,6,Put On,7,,Low,0,TRUE
2,9,Wagon 1,7,Get From,4,,High,0,TRUE
2,9,Wagon 1,8,Put On,11,,Low,0,TRUE
2,9,Wagon 1,9,Get From,5,,High,0,TRUE
2,9,Wagon 1,10,Put On,8,,High,0,TRUE
3,7,Wagon 1,1,Get From,6,,High,6450,TRUE
3,7,Wagon 1,2,Put On,7,,Low,7450,TRUE
3,7,Wagon 1,3,Get From,7,,Low,7450,TRUE
3,7,Wagon 1,4,Put On,8,,High,8450,TRUE
3,7,Wagon 1,5,Get From,8,,High,8450,TRUE
3,7,Wagon 1,6,Put On,9,,High,9450,TRUE
3,7,Wagon 1,7,Set Int,1,,High,0,TRUE
3,7,Wagon 1,8,Get From,3,,High,2900,TRUE
3,7,Wagon 1,9,Put On,5,,High,5200,TRUE
3,7,Wagon 1,10,Get From,5,,High,5200,TRUE
3,7,Wagon 1,11,Put On,6,,High,6450,TRUE
3,7,Wagon 1,12,Get From,1,,High,0,TRUE
3,7,Wagon 1,13,Put On,3,,High,2900,TRUE
3,7,Wagon 1,14,Wait For Int,4,,High,3950,TRUE
3,7,Wagon 1,15,Get From,8,,High,8450,TRUE
