project_id,wagon_no,step_no,command,station_no,wait_sec,critical_status,total_time_sec,valid
001,"Wagon 1",1,"Get From",6,,High,6000,TRUE
001,"Wagon 1",2,"Put On",7,,Low,7000,TRUE
001,"Wagon 1",3,"Get From",1,,High,0,TRUE
001,"Wagon 1",4,"Put On",6,,High,6000,TRUE
001,"Wagon 1",5,"Get From",7,,Low,7000,TRUE
001,"Wagon 1",6,"Put On",8,,High,8000,TRUE
001,"Wagon 1",7,"Wait For Sec",10,,Low,10000,TRUE
001,"Wagon 1",8,"Get From",8,,High,8000,TRUE
001,"Wagon 1",9,"Put On",9,,High,9000,TRUE
001,"Wagon 1",10,"Wait For Sec",10,,Low,10000,TRUE
001,"Wagon 1",11,"Get From",9,,High,9000,TRUE
001,"Wagon 1",12,"Put On",10,,Low,10000,TRUE
001,"Wagon 1",13,"Put On",4,,High,4000,TRUE
Prj001,"Wagon 1",21,"Put On",5,,High,2755,TRUE
Prj001,"Wagon 2",2,"Put On",14,1767046911,,4822,TRUE
Prj001,"Wagon 2",2,"Put On",14,1767046911,,4822,TRUE
Prj001,"Wagon 2",3,"Get From",11,0,Low,0,TRUE
Prj001,"Wagon 2",5,"Put On",12,1750138623,,6287,TRUE
Prj001,"Wagon 2",5,"Put On",12,1750138623,,6287,TRUE
Prj001,"Wagon 2",7,"Put On",15,1767046911,,3966,TRUE
Prj001,"Wagon 2",7,"Put On",15,1767046911,,3966,TRUE
Prj001,"Wagon 2",10,"Put On",16,0,,0,TRUE
Prj001,"Wagon 2",10,"Put On",16,0,,0,TRUE
Prj001,"Wagon 2",13,"Put On ",17,0,,0,TRUE
Prj001,"Wagon 2",13,"Put On ",17,0,,0,TRUE
Prj001,"Wagon 2",15,"Put On ",20,,Low,350,TRUE
Prj001,"Wagon 2",15,"Put On ",20,,Low,350,TRUE
Prj001,"Wagon 2",16,"Put On ",18,0,,0,TRUE
Prj001,"Wagon 2",16,"Put On ",18,0,,0,TRUE
Prj001,"Wagon 2",19,"Put On",21,,Low,0,TRUE
Prj001,"Wagon 2",19,"Put On",21,,Low,0,TRUE
Prj001,"Wagon 2",20,"Put On",15,1767046911,,3966,TRUE
Prj001,"Wagon 2",20,"Put On",15,1767046911,,3966,TRUE
Shree_Vinayak,"Wagon 1",1,"Get From",1,0,High,0,TRUE
Shree_Vinayak,"Wagon 1",2,"Put On",2,50,High,800,TRUE
Shree_Vinayak,"Wagon 1",4,"Get From",6,30,High,4000,TRUE
Shree_Vinayak,"Wagon 1",5,"Put On",1,0,High,0,TRUE
Shree_Vinayak,"Wagon 1",7,"Get From",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 1",10,"Put On",6,30,High,4000,TRUE
Shree_Vinayak,"Wagon 1",11,"Wait For Sec",30,20,,23200,TRUE
Shree_Vinayak,"Wagon 1",14,"Put On",7,25,Low,4800,TRUE
Shree_Vinayak,"Wagon 1",17,"Put On",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 1",18,"Set Int",4,70,High,2400,TRUE
Shree_Vinayak,"Wagon 1",21,"Put On",4,70,High,2400,TRUE
Shree_Vinayak,"Wagon 1",24,"Put On",3,60,High,1600,TRUE
Shree_Vinayak,"Wagon 1",25,"Put On",2,50,High,800,TRUE
Shree_Vinayak,"Wagon 2",3,"Set Int",1,0,High,0,TRUE
Shree_Vinayak,"Wagon 2",4,"Put On",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 2",5,"Wait For Int",2,50,High,800,TRUE
Shree_Vinayak,"Wagon 2",8,"Put On",8,12,High,5600,TRUE
Shree_Vinayak,"Wagon 2",9,"Set Int",3,60,High,1600,TRUE
Shree_Vinayak,"Wagon 2",10,"Put On",11,25,Low,8000,TRUE
Shree_Vinayak,"Wagon 2",11,"Wait For Int",9,15,High,6400,TRUE
Shree_Vinayak,"Wagon 2",14,"Put On",13,35,,9600,TRUE
Shree_Vinayak,"Wagon 2",16,"Wait For Sec",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 2",17,"Put On",11,25,Low,8000,TRUE
Shree_Vinayak,"Wagon 2",18,"Wait For Sec",30,20,,23200,TRUE
Shree_Vinayak,"Wagon 2",21,"Put On",12,30,,8800,TRUE
Shree_Vinayak,"Wagon 2",22,"Get From",13,35,,9600,TRUE
Shree_Vinayak,"Wagon 2",25,"Put On",14,30,,10400,TRUE
Shree_Vinayak,"Wagon 2",29,"Put On",6,30,High,4000,TRUE
Shree_Vinayak,"Wagon 2",30,"Put On",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 3",1,"Put On",17,30,,12800,TRUE
Shree_Vinayak,"Wagon 3",2,"Wait For Int",7,25,Low,4800,TRUE
Shree_Vinayak,"Wagon 3",5,"Put On",21,30,Low,16000,TRUE
Shree_Vinayak,"Wagon 3",8,"Put On",15,45,,11200,TRUE
Shree_Vinayak,"Wagon 3",9,"Get From",14,30,,10400,TRUE
Shree_Vinayak,"Wagon 3",11,"Wait For Int",9,15,High,6400,TRUE
Shree_Vinayak,"Wagon 3",12,"Put On",16,40,,12000,TRUE
Shree_Vinayak,"Wagon 3",13,"Wait For Sec",60,12,Medium,14400,TRUE
Shree_Vinayak,"Wagon 3",14,"Get From",16,40,,12000,TRUE
Shree_Vinayak,"Wagon 3",16,"Wait For Int",6,30,High,4000,TRUE
Shree_Vinayak,"Wagon 3",17,"Put On",17,30,,12800,TRUE
Shree_Vinayak,"Wagon 3",18,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 3",20,"Wait For Sec",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 3",21,"Put On",18,50,,13600,TRUE
Shree_Vinayak,"Wagon 3",22,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 3",24,"Wait For Sec",5,25,High,3200,TRUE
Shree_Vinayak,"Wagon 3",25,"Put On",19,50,Low,14400,TRUE
Shree_Vinayak,"Wagon 3",27,"Set Int",8,12,High,5600,TRUE
Shree_Vinayak,"Wagon 3",28,"Put On",15,45,,11200,TRUE
Shree_Vinayak,"Wagon 4",3,"Put On",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",4,"Set Int",7,25,Low,4800,TRUE
Shree_Vinayak,"Wagon 4",5,"Wait For Sec",10,20,Low,7200,TRUE
Shree_Vinayak,"Wagon 4",8,"Put On",36,75,,28000,TRUE
Shree_Vinayak,"Wagon 4",9,"Get From",39,20,,30400,TRUE
Shree_Vinayak,"Wagon 4",10,"Put On",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",13,"Put On",39,20,,30400,TRUE
Shree_Vinayak,"Wagon 4",14,"Get From",35,65,,27200,TRUE
Shree_Vinayak,"Wagon 4",15,"Set CT Fwd",1,0,High,0,TRUE
Shree_Vinayak,"Wagon 4",18,"Put On",20,40,Low,15200,TRUE
Shree_Vinayak,"Wagon 5",1,"Get From",40,20,,30400,TRUE
